scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
5,29,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20224749.15,NaN,NaN,1.01124,20208080.39,6.93911,817
5,29,3,QAM,Cubic polynomial,40000000,32000000,0.25,35266893.91,35298182.63,0.999114,0.881672,35267744.39,-11.5772,817
5,30,1,QAM,Lookup table,40000000,32000000,0.25,35828435.06,35298182.63,1.01502,0.895711,35965872.5,-5.87279,305
5,31,1,QAM,Lookup table,40000000,32000000,0.25,35059161.27,35298182.63,0.993229,0.876479,35200407.6,-6.13991,1022
5,32,1,QAM,Lookup table,40000000,32000000,0.25,35152094.88,35298182.63,0.995861,0.878802,35356515.35,-6.21058,1022
5,33,1,QAM,Lookup table,40000000,32000000,0.25,35487109.12,35298182.63,1.00535,0.887178,34362094.07,-9.17165,612
5,33,2,QAM,Lookup table,40000000,32000000,0.25,35582777.21,35298182.63,1.00806,0.889569,35830732.15,-7.77899,408
5,34,1,QAM,Lookup table,40000000,32000000,0.25,35219984.96,35298182.63,0.997785,0.8805,34588845.01,-9.16645,1022
5,35,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20260603.81,NaN,NaN,1.01303,20261310.06,1.27872,817
5,35,2,QAM,Lookup table,40000000,32000000,0.25,35351876.7,35298182.63,1.00152,0.883797,34816095.68,16.8192,1022
5,35,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20264564.31,NaN,NaN,1.01323,20291278.29,11.8307,817
5,35,4,QAM,Cubic polynomial,40000000,32000000,0.25,35247599.68,35298182.63,0.998567,0.88119,35247565.54,7.00652,817
5,36,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19776671.5,NaN,NaN,0.988834,19776221.65,1.27399,1022
5,36,2,QAM,Lookup table,40000000,32000000,0.25,35405072.55,35298182.63,1.00303,0.885127,34953429.06,16.9546,100
5,36,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19879896.47,NaN,NaN,0.993995,19777395.74,12.0749,1022
5,36,4,QAM,Cubic polynomial,40000000,32000000,0.25,35337957.14,35298182.63,1.00113,0.883449,35337928.92,7.11059,1022
6,1,1,DSBAM,Cubic polynomial,25000,20000,0.25,1111567.975,NaN,NaN,44.4627,1108922.06,-9.25208,1010
6,1,2,DSBAM,Saleh model,25000,20000,0.25,1062614.562,NaN,NaN,42.5046,1061093.108,-16.4175,1010
6,1,3,FM,Hyperbolic tangent,200000,159744.4089,0.25,1091849.361,NaN,NaN,5.45925,1096826.565,-1.95306,1023
6,1,4,DSBAM,Lookup table,25000,20000,0.25,1075485.821,NaN,NaN,43.0194,1056336.187,-10.7919,1010
6,2,1,DSBAM,Cubic polynomial,25000,20000,0.25,2140787.185,NaN,NaN,85.6315,2134055.652,-9.20763,613
6,2,2,DSBAM,Saleh model,25000,20000,0.25,2116990.345,NaN,NaN,84.6796,2108088.199,-16.2429,613
6,2,3,FM,Hyperbolic tangent,200000,159744.4089,0.25,1087504.35,NaN,NaN,5.43752,1091997.193,-2.16057,1023
6,2,4,DSBAM,Lookup table,25000,20000,0.25,2110246.729,NaN,NaN,84.4099,2105653.822,-10.7926,613
6,3,1,FM,Lookup table,12500,10000,0.25,2114379.024,NaN,NaN,169.15,2164919.505,-6.10044,971
6,3,2,FM,Hyperbolic tangent,200000,159744.4089,0.25,1087507.441,NaN,NaN,5.43754,1092292.792,14.7881,1023
6,4,1,DSBAM,Cubic polynomial,25000,20000,0.25,2130154.375,NaN,NaN,85.2062,2176209.379,0.79962,818
6,4,2,DSBAM,Saleh model,25000,20000,0.25,2103656.17,NaN,NaN,84.1462,2098531.67,2.29508,818
6,4,3,FM,Lookup table,12500,10000,0.25,1106684.473,NaN,NaN,88.5348,1227994.261,-8.47016,1023
6,4,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,1104930.832,NaN,NaN,5.52465,1109681.45,12.8187,1023
6,4,5,DSBAM,Lookup table,25000,20000,0.25,2106133.708,NaN,NaN,84.2453,2103711.325,-0.336736,818
6,5,1,DSBAM,Cubic polynomial,25000,20000,0.25,2130154.27,NaN,NaN,85.2062,2176754.022,1.12365,818
6,5,2,DSBAM,Saleh model,25000,20000,0.25,2103656.309,NaN,NaN,84.1463,2098529.095,2.65837,818
6,5,3,FM,Lookup table,12500,10000,0.25,1106685.556,NaN,NaN,88.5348,1229089.288,-8.12111,1023
6,5,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,1093445.752,NaN,NaN,5.46723,1100045.625,13.3176,1023
6,5,5,DSBAM,Lookup table,25000,20000,0.25,2104595.452,NaN,NaN,84.1838,2102576.056,-0.0628774,818
6,6,1,FM,Lookup table,12500,10000,0.25,1106674.758,NaN,NaN,88.534,1230299.351,-5.90196,1023
6,6,2,FM,Hyperbolic tangent,200000,159744.4089,0.25,1087506.128,NaN,NaN,5.43753,1093104.45,15.2978,1023
6,7,1,DSBAM,Cubic polynomial,25000,20000,0.25,2140787.602,NaN,NaN,85.6315,2135835.327,4.78906,613
6,7,2,DSBAM,Saleh model,25000,20000,0.25,2109347.8,NaN,NaN,84.3739,2104984.681,-4.54547,613
6,7,3,FM,Lookup table,12500,10000,0.25,1102042.958,NaN,NaN,88.1634,1453399.514,-11.7442,1023
6,7,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,1097767.944,NaN,NaN,5.48884,1103420.615,9.01481,1023
6,7,5,DSBAM,Lookup table,25000,20000,0.25,2110246.616,NaN,NaN,84.4099,2107742.456,0.18152,613
6,8,1,DSBAM,Cubic polynomial,25000,20000,0.25,1111568.102,NaN,NaN,44.4627,1110431.452,4.39243,1010
6,8,2,DSBAM,Saleh model,25000,20000,0.25,1062624.257,NaN,NaN,42.505,1054448.529,-4.93842,1010
6,8,3,FM,Lookup table,12500,10000,0.25,1107250.313,NaN,NaN,88.58,1392480.599,-12.3285,1023
6,8,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,1108939.173,NaN,NaN,5.5447,1115071.849,8.67826,1023
6,8,5,DSBAM,Lookup table,25000,20000,0.25,1084205.159,NaN,NaN,43.3682,1066199.432,-0.12958,1010
6,9,1,DSBAM,Cubic polynomial,25000,20000,0.25,1111567.975,NaN,NaN,44.4627,1118675.593,25.9726,1010
6,9,2,DSBAM,Saleh model,25000,20000,0.25,1062614.562,NaN,NaN,42.5046,1080023.29,21.013,1010
6,9,3,FM,Hyperbolic tangent,200000,159744.4089,0.25,1091849.361,NaN,NaN,5.45925,1076559.498,37.1346,1023
6,9,4,DSBAM,Lookup table,25000,20000,0.25,1075485.821,NaN,NaN,43.0194,1089012.208,23.1362,1010
6,10,1,DSBAM,Cubic polynomial,25000,20000,0.25,2140787.185,NaN,NaN,85.6315,2162063.154,26.0628,613
6,10,2,DSBAM,Saleh model,25000,20000,0.25,2116990.345,NaN,NaN,84.6796,2128857.079,21.2063,613
6,10,3,FM,Hyperbolic tangent,200000,159744.4089,0.25,1087504.35,NaN,NaN,5.43752,1067901.275,36.9233,1023
6,10,4,DSBAM,Lookup table,25000,20000,0.25,2110246.729,NaN,NaN,84.4099,2115079.595,23.2016,613
6,11,1,FM,Lookup table,12500,10000,0.25,2114379.024,NaN,NaN,169.15,2124414.728,11.7592,971
6,11,2,FM,Hyperbolic tangent,200000,159744.4089,0.25,1087507.441,NaN,NaN,5.43754,1067684.574,33.0301,1023
6,12,1,DSBAM,Cubic polynomial,25000,20000,0.25,2130154.375,NaN,NaN,85.2062,2128697.669,7.11593,818
6,12,2,DSBAM,Saleh model,25000,20000,0.25,2103656.17,NaN,NaN,84.1462,2102767.11,-4.97437,818
6,12,3,FM,Lookup table,12500,10000,0.25,1106684.473,NaN,NaN,88.5348,1114962.715,-5.58214,1023
6,12,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,1104930.832,NaN,NaN,5.52465,1075558.835,16.0575,1023
6,12,5,DSBAM,Lookup table,25000,20000,0.25,2106133.708,NaN,NaN,84.2453,2102285.476,4.93902,818
6,13,1,DSBAM,Cubic polynomial,25000,20000,0.25,2130154.27,NaN,NaN,85.2062,2128618.905,7.04628,818
